Sliven,1157
Haskovo,1383
Stara Zagora,1834
Pazardzhik,896
Plovdiv,2518
Smolyan,351
Kardzhali,362
Sofia-grad,2472
Sofia-oblast,1504
Pernik,430
Gabrovo,441
Lovech,727
Pleven,1405
Veliko Tarnovo,1015
Montana,652
Vratsa,1114
Kyustendil,641
Vidin,421
Burgas,1835
Yambol,1166
Razgrad,668
Targovishte,636
Shumen,822
Dobrich,862
Varna,1789
Silistra,583
Ruse,854
Blagoevgrad,1150
